Tithi comparison: drikpanchang vs reference
==================================================
Parsed days:         55,152
Reference days:      55,152
Compared:            55,152
Match:               55,117  (99.937%)
Mismatch:                35
Missing in ref:           0
Missing in parsed:        0

All mismatches:
        Date    Drik     Ref    Diff
----------------------------------------
1902-05-30      22      23      -1
1903-05-18      21      22      -1
1908-03-17      14      15      -1
1909-10-11      27      28      -1
1909-12-01      19      20      -1
1911-08-26       2       3      -1
1912-12-14       5       6      -1
1915-12-05      28      29      -1
1916-02-24      20      21      -1
1920-10-12      30       1     +29
1924-02-05      30       1     +29
1925-03-03       8       9      -1
1932-05-15       9      10      -1
1939-07-23       7       8      -1
1940-02-03      25      26      -1
1943-12-17      20      21      -1
1946-01-29      26      27      -1
1951-06-08       3       4      -1
1956-05-29      19      20      -1
1957-08-28       3       4      -1
1965-05-06       5       6      -1
1966-01-08      16      17      -1
1966-08-09      22      23      -1
1966-10-25      11      12      -1
1968-03-11      11      12      -1
1968-05-24      27      28      -1
1972-04-01      17      18      -1
1974-12-19       5       6      -1
1978-09-15      13      14      -1
1982-03-07      12      13      -1
1987-12-18      27      28      -1
2007-10-09      28      29      -1
2014-05-22      23      24      -1
2045-01-17      30      29      +1
2046-05-22      18      17      +1
